"date","hour","avg_temp_c","avg_humidity","min_dewpoint_f","avg_pressure","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2_5_aqi_cf_1","pm2_5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um"
"2024-01-14","11","17.444444444444443","57.5","47","705.6873333333332","440.29","601.07","676.91","438.67","599.6600000000001","676.6399999999999","2041","2037","75733.32","22586.08","3308.3999999999996","294.7","119.22","16.89"
"2024-01-14","12","18.370370370370367","54.9","47","706.0873333333333","568.1999999999998","761.1300000000001","856.1599999999999","551.91","749.35","852.77","2385","2356","96697.68","28797.290000000005","3969.39","364.03999999999996","147","21.73"
"2024-01-14","13","20.611111111111107","48.46666666666667","48","706.2753333333333","545.3800000000001","709.55","795.11","529.9100000000001","704.87","794.9499999999999","2277","2268","95787.27999999998","28186.569999999996","3419.91","319.83","130.07999999999998","20.979999999999997"
"2024-01-14","14","22.51851851851852","42.666666666666664","47","706.1113333333332","608.3700000000001","767.3900000000001","836.69","592.55","765.9300000000002","836.69","2398","2396","105558.87999999999","30991.569999999992","3412.8600000000006","283.15000000000003","103.40000000000002","17.060000000000002"
"2024-01-14","15","25.222222222222225","33.63333333333333","43","705.4599999999999","500.75","621.4299999999998","673.42","493.8900000000001","620.3699999999999","673.42","2089","2088","88577.67999999998","25690.500000000007","2709.23","206.17000000000004","78.36000000000001","14.730000000000002"
"2024-01-14","16","24.98148148148148","28.466666666666665","40","704.6823333333334","225.60999999999999","279.08000000000004","311.6000000000001","224.59","278.46000000000004","311.52000000000004","1132","1131","43677.4","12577.53","1208.04","110.99999999999999","46.61","14.020000000000003"
"2024-01-14","17","29.01851851851852","24.266666666666666","42","704.0196666666668","179.79","229.36999999999995","264.67","178.16","228.00999999999993","263.91","924","921","36508.86000000001","10505.98","1088.55","106.52999999999997","56.51999999999999","8.190000000000003"
"2024-01-14","18","24.74074074074074","33.166666666666664","42","703.3953333333334","96.57000000000001","118.81999999999996","132.49","96.57000000000001","118.81999999999996","132.49","496","496","21265.039999999994","6135.15","526.18","49.07000000000001","20.039999999999996","6.359999999999999"
"2024-01-14","19","16.5","59.43333333333333","46","703.8323333333335","136.54000000000002","179.18","206.67000000000004","136.54000000000002","179.18","206.67000000000004","740","740","27480.039999999997","8074.82","892.4999999999999","90.67","42.32","10.740000000000002"
"2024-01-14","20","17.72222222222222","57.5","47","703.6366666666665","121.32999999999998","154.80999999999997","173.62999999999997","121.32999999999998","154.80999999999997","173.62999999999997","644","644","25731.28","7498.1","724.6099999999999","62.92999999999999","28.39","7.07"
"2024-01-14","21","18.148148148148152","57.233333333333334","48","703.6603333333333","143.81000000000003","178.4","199.15","143.81000000000003","178.4","199.15","742","742","29879.77","8675.899999999998","779.7999999999998","69.74","29.949999999999996","7.699999999999999"
"2024-01-14","22","17.27777777777778","59.36666666666667","48","703.997","303.31","385.52000000000004","427.40999999999997","302.65000000000003","385.1","427.40999999999997","1530","1529","55482.18","16281.810000000003","1766.7299999999993","147.73","64.09000000000002","17.009999999999998"
"2024-01-14","23","18.148148148148152","56.13333333333333","47","704.3050000000003","211.14999999999992","265.65","292.13","211.14999999999992","265.65","292.13","1100","1100","40939","11952.279999999997","1157.46","99.1","37.160000000000004","12.139999999999999"
"2024-01-15","0","18.111111111111107","57.6","48","704.5800000000002","542.21","682.0600000000001","751.9200000000002","534.6700000000001","679.69","751.7300000000001","2214","2209","95851.98999999996","28032.819999999996","2966.9900000000002","263.81","108.37999999999995","19.38"
"2024-01-15","1","17.74074074074074","58.766666666666666","48","704.6630000000001","557.4999999999999","689.8699999999999","745.46","542.6700000000001","687.9599999999999","745.39","2234","2231","97233.57","28497.41","2850.49","222.87999999999997","83.03","21.729999999999997"
"2024-01-15","2","18.037037037037038","56.733333333333334","48","704.9750000000001","382.99","470.70000000000005","506.18000000000006","382.99","470.70000000000005","506.18000000000006","1768","1768","68754.11","20117.440000000002","1889.1200000000003","145.28000000000003","53.03","13.629999999999999"
"2024-01-15","3","17.814814814814813","57.93333333333333","48","704.9873333333333","520.8299999999999","646.7199999999998","716.9200000000001","514.9399999999999","646.6799999999998","716.9200000000001","2140","2140","92741.34999999999","27117.31","2704.600000000001","247.04","107.83","24.320000000000004"
"2024-01-15","4","17.870370370370374","57.93333333333333","48","704.6949999999999","478.01","600.0600000000001","667.7500000000001","469.80999999999995","596.19","666.0900000000001","2039","2031","86115.42000000001","25164.260000000002","2548.3700000000003","247.67000000000004","105.34999999999997","18.76"
"2024-01-15","5","17.24074074074074","60.3","47","704.1729999999997","580.7300000000001","731.58","817.1600000000001","565.8000000000002","727.7000000000002","817.09","2322","2315","100800.45","29670.820000000003","3226.5100000000007","308.45","129.77","24.540000000000003"
"2024-01-15","6","17.22222222222222","59.733333333333334","48","703.612","425.90000000000003","540.07","608.3600000000001","422.05","538.65","608.3600000000001","1911","1908","75446.76000000002","22229.690000000002","2414.1399999999994","247.0499999999999","100.11000000000004","26.88"
"2024-01-15","7","17.38888888888889","57.93333333333333","47","703.2190000000002","395.5400000000001","520.6800000000002","612.91","394.4800000000001","519.3500000000001","611.4899999999999","1873","1870","70231.86","20760.280000000002","2504.98","307.5899999999999","136.27","32.47"
"2024-01-15","8","17.685185185185187","56.86666666666667","47","703.1786666666667","351.56999999999994","442.87999999999994","489.8199999999999","351.56999999999994","442.87999999999994","489.8199999999999","1706","1706","62773.84999999999","18564.140000000003","1991.0599999999995","171.28999999999996","70.75999999999998","17.620000000000005"
"2024-01-15","9","16.51851851851852","60.86666666666667","47","703.4256666666666","453.8599999999999","593.02","692.21","453.8599999999999","593.02","692.21","2027","2027","78740.55","23393.61","2873.4300000000003","343.41","150.48999999999998","26.459999999999997"
"2024-01-15","10","16.38888888888889","60.766666666666666","46","703.7373333333333","598.8299999999999","784.9299999999998","918.4499999999998","553.53","745.74","897.5299999999997","2447","2363","103135.51","30456.42","3751.21","464.28","207.83999999999997","34.06"
"2024-01-15","11","16.48148148148148","58.03333333333333","45","704.2556666666665","425.72999999999996","538.8000000000001","604.0500000000001","424.83","538.8000000000001","604.0500000000001","1911","1911","74641.35999999999","21983.99","2401.2000000000003","220.85999999999999","98.24000000000001","18.7"
"2024-01-15","12","18.72222222222222","51.9","46","704.7263333333333","620.6400000000001","793.4599999999998","907.3999999999999","590.3600000000002","783.43","906.6599999999999","2455","2434","108697.3","31919.399999999994","3612.7400000000007","394.75999999999993","178.30000000000004","27.560000000000006"
"2024-01-15","13","22.537037037037035","39.733333333333334","45","704.8783333333333","364.28000000000014","451.5199999999999","486.63","364.22000000000014","451.5199999999999","486.63","1722","1722","65365.399999999994","19236.350000000006","1987.2300000000002","138.73999999999998","51.800000000000004","13.92"
"2024-01-15","14","22.722222222222225","37.766666666666666","44","704.6683333333334","382.54","467.33000000000004","508.53000000000003","382.54","467.33000000000004","508.53000000000003","1755","1755","68324.31","19924.71","1979.1799999999992","142.98000000000002","58.13000000000001","18.25"
"2024-01-15","15","24.870370370370367","31.7","42","704.1760000000002","197.82999999999998","247.63","269.78999999999996","197.82999999999998","247.63","269.78999999999996","999","999","39333.30999999999","11367.690000000002","1051.8700000000001","80.87","31.170000000000005","11.110000000000001"
"2024-01-15","16","26.851851851851848","27.866666666666667","41","703.4189999999999","94.28","117.15999999999998","131.77","94.28","117.15999999999998","131.77","488","488","22570.7","6338.449999999999","494.2900000000001","46.87999999999999","22.449999999999996","6.6000000000000005"
"2024-01-15","17","24.444444444444443","33.8","43","702.7436666666665","97.38999999999999","119.22000000000003","133.80000000000004","97.35","119.22000000000003","133.80000000000004","496","496","22495.15","6383.26","495.99","44.21000000000001","19.75","8.620000000000001"
"2024-01-15","18","24.296296296296298","32.9","43","702.1596666666668","82.15999999999998","104.10999999999999","120.02","82.15999999999998","104.10999999999999","120.02","433","433","20007.62","5725.46","470.69999999999993","52.779999999999994","21.65","6.14"
"2024-01-15","19","26.962962962962962","28.333333333333332","43","701.4036666666666","44.71999999999999","56.68999999999999","68.03","44.71999999999999","56.68999999999999","68.03","238","238","13622.94","3932.7100000000005","283.11999999999995","32.14000000000001","15.240000000000004","6.69"
"2024-01-15","20","24.166666666666668","33.46666666666667","43","700.729","80.15","100.66000000000001","115.70999999999998","80.15","100.66000000000001","115.70999999999998","420","420","19381.75","5603.45","460.14000000000004","47.18000000000001","21.96999999999999","7.769999999999998"
"2024-01-15","21","25.944444444444443","31.3","44","700.5856666666666","86.96999999999998","111.41000000000003","131.95","86.96999999999998","111.41000000000003","131.95","465","465","20875.030000000006","5985.37","539.9300000000001","59.5","29.720000000000002","12.209999999999999"
"2024-01-15","22","28.000000000000004","28.2","44","700.7993333333333","125.62","157.83","181.54000000000002","125.62","157.83","181.54000000000002","658","658","27177.840000000004","7772.709999999999","741.8","75.88","34.650000000000006","12.230000000000002"
"2024-01-15","23","20.833333333333332","44.2","45","701.6353333333335","188.73000000000002","241.14000000000004","272.49","188.73000000000002","241.14000000000004","272.49","1006","1006","36624.21","10676.83","1131.9899999999998","106.87","44.669999999999995","16.490000000000002"
"2024-01-16","0","18.462962962962965","53.03333333333333","47","702.6413333333335","246.55","316.34000000000003","361.21","246.55","316.34000000000003","361.21","1318","1318","45961.43","13515.77","1537.27","134.57","64.25","23.15"
"2024-01-16","1","18.944444444444443","52.5","47","703.4876666666664","294.83","381.43","443.14","294.83","381.43","443.14","1551","1551","53951.15","15881.209999999997","1923.8600000000004","194.61999999999995","85.24","33.00999999999999"
"2024-01-16","2","18.129629629629633","54.63333333333333","47","704.084","262.08","343.28999999999996","396.58999999999986","262.08","343.28999999999996","396.58999999999986","1416","1416","48272.959999999985","14295.289999999997","1751.6299999999997","175.04999999999995","77.77","24.750000000000004"
"2024-01-16","3","17.90740740740741","54.96666666666667","47","704.2623333333335","229.00000000000003","296.27","338.61","229.00000000000003","296.27","338.61","1233","1233","42488.07","12573.21","1507.7399999999998","129.86","62.169999999999995","20.859999999999996"
"2024-01-16","4","18.000000000000004","54.86666666666667","46","704.1836666666665","225.8","289.98","336.49000000000007","225.8","289.98","336.49000000000007","1207","1207","41438.329999999994","12295.71","1503.8300000000002","130.10999999999996","67.83","27.05"
"2024-01-16","5","19.48148148148148","50.46666666666667","46","703.7083333333333","208.13000000000005","266.04","301.01","208.13000000000005","266.04","301.01","1108","1108","38398.68000000001","11397.170000000002","1336.93","115.45","50.320000000000014","19.229999999999997"
"2024-01-16","6","18.240740740740737","54.1","47","703.0773333333333","206.51","264.11","308.62999999999994","206.51","264.11","308.62999999999994","1098","1098","38256.87000000001","11376.63","1362.9799999999998","124.18000000000002","63.16","21.71"
"2024-01-16","7","18.22222222222222","54.43333333333333","47","702.6533333333333","236.04000000000002","305.92999999999995","348.97999999999996","235.83","305.46999999999997","348.97999999999996","1251","1250","42850.17","12778.38","1628.5299999999995","130.45999999999998","64.12","20.77"
"2024-01-16","8","17.537037037037038","57.3","47","702.5946666666665","398.02000000000004","567.38","687.8399999999999","380.69","536.94","655.4599999999999","1928","1855","69027.31","20714.449999999997","3290.7300000000005","428.16999999999996","188.25999999999996","33.050000000000004"
"2024-01-16","9","17.931034482758623","56.62068965517241","47","702.8734482758621","665.32","940.7200000000001","1139.4100000000003","553.17","780.1500000000001","965.5300000000003","2538","2380","111323.68999999999","33562.88","5300.699999999999","714.0900000000001","306.49999999999994","42.019999999999996"
"2024-01-16","10","18.685185185185187","54.333333333333336","48","703.2513333333333","551.3299999999999","742.07","880.4499999999998","507.16999999999996","685.6500000000001","816.4799999999998","2290","2221","94236.42","28089.900000000005","3888.1000000000013","469.1299999999999","213.31000000000006","40.339999999999996"
"2024-01-16","11","17.185185185185183","59.93333333333333","48","703.7913333333333","477.71999999999997","620.95","710.76","476.11999999999995","620.9000000000001","710.76","2083","2083","82130.12","24378.709999999992","3090.5100000000007","295.30999999999995","134.05","34.97999999999999"
"2024-01-16","12","17.685185185185187","58.46666666666667","48","704.4966666666667","525.7300000000001","683.5800000000002","778.4500000000002","522.66","682.95","778.4000000000001","2222","2220","90325.10999999999","26809.17","3421.2499999999995","312.37999999999994","142.62000000000003","34.28"
"2024-01-16","13","22.75925925925926","43.4","47","704.8936666666666","408.49999999999994","515.5199999999998","573.1900000000002","408.42999999999995","515.5199999999998","573.1900000000002","1861","1861","72286.89000000001","21340.599999999995","2494.7699999999995","184.88","83.52000000000001","22.860000000000007"
"2024-01-16","14","26.092592592592595","33.666666666666664","46","704.7093333333333","388.86000000000007","482.35","535.76","387.74","481.87","535.73","1769","1768","69716.38000000002","20266.91","2214.1800000000007","164.30999999999997","81.44","22.759999999999998"
"2024-01-16","15","28.944444444444443","26.4","44","704.0803333333333","218.08","271.59999999999997","296.44000000000005","218.08","271.59999999999997","296.44000000000005","1131","1131","41940.90000000001","12117.2","1235.6200000000001","91.03999999999998","35.77000000000001","9.779999999999998"
"2024-01-16","16","30.72222222222222","23.1","43","703.2443333333334","158.48","196.47000000000006","221.56","158.48","196.47000000000006","221.56","818","818","32563.650000000005","9318.26","917.1399999999999","78.59","36.540000000000006","13.159999999999997"
"2024-01-16","17","26.944444444444443","27.133333333333333","42","702.5633333333333","103.38","131.96","151.02000000000004","103.38","131.96","151.02000000000004","548","548","23433.45","6699.549999999999","623.48","62.74","27.880000000000003","10.409999999999998"
"2024-01-16","18","25.814814814814817","30.533333333333335","43","702.1263333333334","120.94999999999997","153.62000000000003","175.48000000000002","120.94999999999997","153.62000000000003","175.48000000000002","640","640","26302.359999999997","7534.120000000001","729.03","71.38","30.95","10.41"
"2024-01-16","19","27.90740740740741","26.233333333333334","43","701.4766666666667","101.59000000000002","128.45999999999998","144.97","101.59000000000002","128.45999999999998","144.97","535","535","23173.75","6610.4400000000005","615.59","57.15","25.91","7.0600000000000005"
"2024-01-16","20","29.46296296296296","24.033333333333335","43","701.0019999999998","68.38000000000001","88.72000000000001","101.80000000000001","68.38000000000001","88.72000000000001","101.80000000000001","370","370","17602.21","4986.3099999999995","470.2000000000001","43.65","17.720000000000002","7.33"
"2024-01-16","21","28.759259259259256","24.966666666666665","43","700.9786666666666","84.4","109.27","128.32","84.4","109.27","128.32","456","456","19982.48","5677.409999999998","536.51","61.83","27.399999999999995","10.049999999999999"
"2024-01-16","22","25.777777777777782","30.1","43","701.5136666666664","124.83","157.15999999999997","188.31","124.78999999999999","157.15999999999997","188.31","656","656","26595.05","7687.699999999999","719.0199999999999","90.34999999999998","46.66","14.71"
"2024-01-16","23","23.5","36.56666666666667","44","702.4463333333333","133.12000000000003","169.25","198.97","133.12000000000003","169.25","198.97","704","704","27229.15000000001","7969.349999999999","830.2299999999999","86.62000000000002","41.019999999999996","16.340000000000003"
