"date","hour","avg_temp_c","avg_humidity","min_dewpoint_f","avg_pressure","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2_5_aqi_cf_1","pm2_5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um"
"2023-12-16","17","20.46783625730994","52.26315789473684","49","662.5278947368421","22.089999999999996","32.7","36.94","22.089999999999996","32.7","36.94","133","133","7349.960000000001","2132.2","229.34000000000003","15.819999999999997","6.19","2.35"
"2023-12-16","18","22.16666666666667","47.56666666666667","48","662.2239999999998","47.86999999999999","66.36","72.43000000000002","47.86999999999999","66.36","72.43000000000002","277","277","14089.16","4072.709999999999","417.15999999999997","20.86","8.910000000000002","3.49"
"2023-12-16","19","23.370370370370367","41.86666666666667","48","661.3686666666666","92.67","122.18999999999998","131.78000000000003","92.67","122.18999999999998","131.78000000000003","510","510","21366.72","6174.739999999999","669.5399999999998","33.690000000000005","13.220000000000002","4.7700000000000005"
"2023-12-16","20","21.092592592592595","44.766666666666666","45","660.7423333333334","155.94","201.13999999999996","214.68","155.94","201.13999999999996","214.68","839","839","31078.629999999997","9024.970000000001","1032.02","50.57000000000001","20.939999999999998","7.53"
"2023-12-16","21","21.168582375478923","43.172413793103445","45","660.5437931034483","71.02000000000001","94.92999999999999","102.07000000000001","71.02000000000001","94.92999999999999","102.07000000000001","396","396","17111.000000000004","4972.71","549.6900000000002","27.249999999999996","11.309999999999999","3.2"
"2023-12-16","22","19.314814814814813","50.1","45","660.7673333333333","98.12999999999998","136.5","151.79000000000002","98.12999999999998","136.5","151.79000000000002","568","568","21455.440000000002","6244.969999999999","831.8800000000001","50","22.689999999999998","8.299999999999999"
"2023-12-16","23","17.74074074074074","57.9","47","661.5176666666666","161.57999999999998","220.22999999999996","245.30999999999995","161.57999999999998","220.22999999999996","245.30999999999995","918","918","31902.88","9351.829999999998","1320.22","74.76","37.08","14.88"
"2023-12-17","0","16.907407407407405","61.46666666666667","48","662.3656666666668","230.56999999999996","322.09","356.09000000000003","230.56999999999996","322.09","356.09000000000003","1339","1339","43973.67","12866.960000000001","1876.15","114.21999999999998","49.53","20.15"
"2023-12-17","1","15.740740740740742","64.26666666666667","46","663.1393333333334","121.55999999999999","170.17999999999995","190.94000000000003","121.55999999999999","170.17999999999995","190.94000000000003","669","669","25107.000000000007","7347.170000000001","1030.43","74.54000000000002","30.939999999999994","12.630000000000004"
"2023-12-17","2","15.24074074074074","66.63333333333334","46","663.5496666666666","184.38999999999996","257","282.45000000000005","184.38999999999996","257","282.45000000000005","1065","1065","35838.58","10512.49","1531.06","87.38000000000001","38.34","14.86"
"2023-12-17","3","15.666666666666666","64","47","663.6560000000003","87.37","119.53","131.52","87.37","119.53","131.52","499","499","19495.579999999998","5704.9800000000005","764.24","40.67999999999999","18.37","6.170000000000001"
"2023-12-17","4","15.40740740740741","63.8","46","663.4499999999999","49.92999999999999","72.33","81.52999999999999","49.919999999999995","72.33","81.52999999999999","304","304","13430.869999999999","3885.64","506.69000000000005","30.470000000000006","12.879999999999997","5.66"
"2023-12-17","5","15.148148148148145","65.9","47","663.0316666666669","176.34000000000006","242.42999999999998","263.03000000000003","176.34000000000006","242.42999999999998","263.03000000000003","1011","1011","34026.75","9978.800000000001","1454.82","71.36","30.43000000000001","13.660000000000002"
"2023-12-17","6","15.166666666666666","66","47","662.5553333333334","202.07","315.94","452.75999999999993","202.07","315.94","451.25999999999993","1281","1281","39119.590000000004","11623.380000000001","2135.4100000000003","349.32999999999987","198.72","96.55"
"2023-12-17","7","15.166666666666666","65.6","47","662.2090000000002","170.42999999999998","238.9","259.18","170.42999999999998","238.9","259.18","994","994","33127.1","9781.67","1494.4800000000002","69.93","31.17","12.529999999999998"
"2023-12-17","8","15.203703703703704","65.73333333333333","47","661.9629999999999","182.99","300.65999999999997","473.85","182.99","300.65999999999997","472.82","1247","1247","36724.189999999995","10876.159999999998","2169.83","418.18000000000006","251.24","126.53999999999999"
"2023-12-17","9","15.11111111111111","66.23333333333333","47","662.0799999999999","190.76","327.76","561.02","190.76","327.76","560.28","1344","1344","38080.11","11317.290000000003","2457.5099999999998","549.25","337.88","168.63999999999996"
"2023-12-17","10","14.833333333333334","66.06666666666666","47","662.571","380.37999999999994","532.11","624.3299999999999","312.3","444.41999999999996","538.82","1499","1391","66202.61","19659.499999999996","3022.6400000000003","288.94","135.75","60.9"
"2023-12-17","11","15.129629629629632","65.33333333333333","46","663.2099999999998","254.59","355.69000000000005","382.3900000000001","231.98999999999992","323.50000000000006","349.3400000000001","1298","1223","46954.3","13829.67","2028.9800000000002","133.84","38.730000000000004","9.859999999999998"
"2023-12-17","12","16.666666666666668","60","48","663.41","9.84","12.38","12.75","9.84","12.38","12.75","52","52","1818","522.85","50.71","1.98","0.53","0"
"2023-12-17","18","21.194444444444446","44.5","46","661.4660000000001","77.11","120.03","143.83","68.09","103.39999999999999","124.71999999999997","385","362","15209.809999999996","4395.299999999999","633.1100000000001","65.19000000000001","23.95","7.73"
"2023-12-17","19","21.666666666666668","42.86666666666667","44","661.4206666666666","76.54000000000002","101.43999999999998","110.65","76.56000000000002","101.43999999999998","110.65","424","424","18168.94","5242.7","576.2800000000002","32.52","13.379999999999999","3.8800000000000003"
