"date","hour","avg_temp_c","avg_humidity","min_dewpoint_f","avg_pressure","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2_5_aqi_cf_1","pm2_5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um"
"2023-10-14","17","28.961352657004834","37","49","725.055652173913","227.75000000000003","301.2699999999999","326.94999999999993","212.67","286.77000000000004","319.90999999999997","1074","1042","43182.59","12488.980000000001","1398.4400000000003","128.72","38.599999999999994","10.129999999999997"
"2023-10-14","18","23.203703703703702","45.03333333333333","49","724.3856666666667","392.7899999999999","550.11","583.26","358.64","506.47","557.54","1863","1757","70998.65","20759.800000000003","2757.0999999999995","241.33000000000004","49.81","9.25"
"2023-10-14","19","19.928315412186382","56.83870967741935","51","724.0419354838707","362.56","517.3500000000001","545.3100000000001","353.34","504.50000000000006","542.26","1810","1781","65139.52","19170.63","2898.4499999999994","200.82999999999998","41.589999999999996","7.140000000000001"
"2023-10-14","20","20.500000000000004","53.766666666666666","49","724.0286666666667","281.22999999999996","387.93999999999994","425.01","280.88","387.42999999999995","424.96000000000004","1563","1562","50150.17","14863.76","2232.64","136.98999999999998","56.32","13.579999999999997"
"2023-10-14","21","19.695340501792113","52.193548387096776","48","724.4783870967741","256.85999999999996","358.9699999999999","402.44999999999993","255.64999999999998","356.4299999999999","401.7199999999999","1450","1444","46972.95999999999","13897.950000000003","2081.9800000000005","158.20999999999995","66.49000000000001","14.95"
"2023-10-14","22","16.425925925925927","58.86666666666667","45","725.133","214.72999999999996","303.80999999999995","339.92","214.72999999999996","303.80999999999995","339.92","1263","1263","39606.90000000001","11761.3","1810.4799999999998","128.93999999999997","55.42999999999999","12.690000000000003"
"2023-10-14","23","15.931899641577063","56.774193548387096","43","725.7632258064515","164.1","232.30999999999997","260.38000000000005","164.1","232.30999999999997","260.38000000000005","970","970","32257.599999999995","9501.66","1415.6300000000003","89.91","42.940000000000005","8.89"
"2023-10-15","0","15.851851851851851","51.53333333333333","41","726.378","150.19","211.48000000000002","238.58999999999997","150.19","211.48000000000002","238.58999999999997","882","882","29577.090000000004","8746.449999999999","1271.5700000000002","87.64","41.39999999999999","9.57"
"2023-10-15","1","16.003584229390682","46.516129032258064","39","726.9945161290321","108.39999999999999","151.68999999999997","175.45","108.39999999999999","151.68999999999997","175.45","635","635","23377.749999999996","6895.39","910","71.04","36.440000000000005","7.51"
"2023-10-15","2","15.814814814814817","47.43333333333333","38","727.4346666666667","82.38000000000001","121.35000000000001","137.98000000000005","82.38000000000001","121.35000000000001","137.98000000000005","503","503","19040.499999999993","5585.480000000001","763.6600000000001","55.849999999999994","25.330000000000002","4.140000000000001"
"2023-10-15","3","15.60931899641577","48.32258064516129","38","727.6877419354837","71.13","103.93","118.84","71.13","103.93","118.84","434","434","17421.940000000002","5129.950000000002","652.12","45.010000000000005","23.31","5.1"
"2023-10-15","4","15.25925925925926","49.7","39","727.4130000000001","90.75000000000003","131.53","147.14","90.75000000000003","131.53","147.14","552","552","20279.85","5974.400000000001","828.2900000000001","53.599999999999994","24.72","4.2700000000000005"
"2023-10-15","5","14.695340501792113","51.483870967741936","39","726.8151612903226","88.55999999999999","128.4","145.6","88.53999999999999","128.4","145.6","539","539","19940.510000000002","5905.6","791.2799999999999","57.13","28.16","5.91"
"2023-10-15","6","14.802867383512547","52.193548387096776","39","726.0429032258066","90.00000000000003","127.82999999999998","143.25000000000003","90.00000000000003","127.82999999999998","143.25000000000003","533","533","20337.55","5983.799999999999","798.8700000000002","56.5","23.319999999999997","4.369999999999999"
"2023-10-15","7","14.703703703703704","52.53333333333333","39","725.7153333333334","92.97","132.23","149.36999999999998","92.97","132.23","149.36999999999998","552","552","20537.309999999998","6045.279999999999","811.9100000000001","54.129999999999995","26.44000000000001","4.27"
"2023-10-15","8","14.211469534050178","59.483870967741936","42","725.422258064516","104.14000000000003","145.69","161.96","104.14000000000003","145.69","161.96","608","608","22424.77","6569.860000000001","864.4299999999998","53.88999999999999","24.160000000000004","6.229999999999999"
"2023-10-15","9","14.11111111111111","59.56666666666667","42","725.3453333333332","225.02999999999997","289.28","304.6199999999999","214.72","282.99999999999994","303.5699999999999","1079","1065","42576.56","12430.170000000004","1312.6699999999996","74.11999999999999","23.360000000000003","4.07"
"2023-10-15","10","13.592592592592593","60.8","42","725.6723333333335","117.57000000000001","163.79000000000002","176.74000000000004","117.57000000000001","163.79000000000002","176.74000000000004","682","682","24029.449999999993","7046.500000000002","921.6799999999998","50.81999999999999","21.27","2.8099999999999996"
"2023-10-15","11","15.537634408602152","57.61290322580645","43","726.0735483870967","353.6","605.8199999999999","718.7999999999998","296.1","486.39000000000004","594.7099999999999","1567","1427","66307.72","19737.93","3967.9100000000003","517.19","172.80999999999997","23.709999999999997"
"2023-10-15","12","21.11111111111111","43.233333333333334","45","726.473","232.06999999999996","339.3000000000002","362.83","217.26","317.1500000000001","353.81999999999994","1215","1159","44380.24000000001","13070.61","1961.9299999999996","138.98000000000002","35.57000000000001","5.5600000000000005"
"2023-10-15","13","24.229390681003583","37","45","726.4667741935483","89.66000000000001","120.21999999999998","129.80999999999997","89.66000000000001","120.21999999999998","129.80999999999997","501","501","20534.070000000003","6029.89","687.2099999999998","33.86999999999999","14.96","2.7800000000000002"
