"date","avg_temp_c","avg_humidity","min_dewpoint_f","avg_pressure","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2_5_aqi_cf_1","pm2_5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um"
"2023-12-16","20.77441077441077","48.035353535353536","45","661.3252525252528","649.3","874.05","955.0000000000005","649.3","874.05","955.0000000000005","3641","3641","144353.79000000007","41974.13","5049.850000000006","272.9500000000001","120.34","44.51999999999999"
"2023-12-17","16.28221377270807","60.2148288973384","40","662.3707604562736","2724.730000000001","3970.6100000000015","4883.409999999996","2624.9900000000016","3834.100000000001","4742.469999999996","15418","15212","544306.3200000001","159828.38999999993","24754.469999999987","2579.690000000005","1327.4900000000005","601.6600000000001"
"2023-12-18","18.453265242958835","55.7075208913649","43","662.1478412256271","4982.7400000000025","7549.97999999999","10250.310000000018","4926.270000000002","7455.979999999991","9794.27000000001","27824","27721","971848.2600000001","285826.92","48647.829999999965","7078.799999999996","3921.849999999998","1936.5600000000043"
"2023-12-19","16.875198981216172","57.62320916905444","42","662.4693696275076","6416.88","9768.11999999999","11556.339999999997","5790.140000000002","8650.399999999992","10168.249999999998","29693","28812","1135877.3999999992","349664.44","61352.799999999974","6277.1900000000005","2676.6200000000003","783.7500000000008"
"2023-12-20","15.912808641975309","57.416666666666664","40","662.0724861111113","3295.3800000000033","4352.750000000004","4833.159999999996","3287.180000000003","4350.290000000004","4832.7999999999965","16623","16614","671892.2599999999","195071.30999999982","23030.59000000001","1587.7099999999994","709.8199999999996","274.2999999999999"
"2023-12-21","19.09490740740741","50.734722222222224","39","661.833361111111","4754.140000000001","7917.380000000006","13044.099999999997","4754.140000000001","7870.190000000004","12076.239999999993","28781","28680","958499.779999999","283219.82000000024","56710.06000000006","12246.46000000001","7432.100000000002","3805.4099999999894"
"2023-12-22","18.43314763231198","51.76601671309192","41","662.791002785515","3095.9099999999976","4720.169999999999","6390.629999999999","3095.8799999999974","4716.98","6313.93","17558","17549","645353.6200000001","189154.13999999996","30885.31000000001","4482.629999999998","2453.6299999999937","1138.9800000000052"
"2023-12-23","18.02237654320988","53.21805555555556","41","662.8750694444442","5310.25","7906.010000000003","9739.659999999996","5245.25","7772.540000000004","9402.920000000004","29744","29609","1018203.6600000007","299591.7300000003","49674.91999999996","5551.3","2685.6000000000004","1185.1100000000015"
"2023-12-24","19.494598765432094","49.75416666666667","40","663.1826388888888","3910.8999999999987","5622.15","6407.030000000006","3874.6899999999987","5555.739999999999","6339.230000000007","21929","21849","779067.4599999998","228406.2499999999","34623.10999999998","2690.9399999999987","1161.6400000000026","462.7400000000003"
"2023-12-25","18.032697969936464","54.66945606694561","42","663.3957880055787","4347.760000000003","6224.360000000003","7796.7000000000035","4203.549999999997","6055.130000000003","7507.430000000004","22485","22188","859617.3999999992","251394.21000000017","36800.20000000003","4439.169999999998","2281.799999999998","1105.500000000004"
"2023-12-26","16.52314814814815","56.37777777777778","41","663.8890416666667","3955.1200000000044","7299.859999999998","15291.080000000005","3952.2000000000044","7265.679999999998","13814.990000000007","26850","26775","846921.8199999988","251269.39999999988","57579.73999999997","17741.750000000007","11555.570000000002","6104.230000000001"
"2023-12-27","16.094135802469133","57.30555555555556","41","663.3582083333339","4424.400000000003","5968.610000000002","6448.229999999995","4420.660000000003","5964.370000000003","6448.229999999995","23759","23749","854895.2099999998","249608.70999999996","33358.20000000001","1828.5200000000018","720.0699999999998","240.0199999999998"
"2023-12-28","15.074074074074073","60.547222222222224","41","663.9423749999999","3996.9400000000046","8280.960000000005","20042.399999999987","3988.370000000004","8191.100000000003","17351.020000000015","28496","28305","872105.6700000006","260699.28999999998","70904.72000000002","25807.359999999993","17028.540000000005","9005.069999999994"
"2023-12-29","15.754906505949622","57.36856745479833","40","664.4608762169681","3341.6300000000024","4874.039999999998","5597.670000000007","3108.0800000000013","4437.4299999999985","5133.820000000006","16411","15957","671973.51","196105.66999999984","28927.68000000002","2792.450000000002","1095.5900000000013","357.03999999999996"
"2023-12-30","15.49074074074074","56.49444444444445","40","664.5360277777779","2382.309999999999","3428.6499999999987","4282.740000000003","2202.4900000000007","3100.4099999999994","3839.670000000006","11448","11141","512387.56999999954","148563.46999999986","20028.509999999973","2566.899999999998","1274.1000000000029","506.47000000000054"
"2023-12-31","15.593416782568381","57.723226703755216","40","664.1479554937421","2564.0900000000006","3864.2599999999993","4976.080000000004","2503.9800000000005","3711.689999999999","4739.590000000004","14395","14212","544728.1900000003","159599.44999999998","24732.779999999995","3220.960000000001","1664.7000000000003","683.2900000000001"
"2024-01-01","16.119634278630095","55.693165969316595","40","663.3711854951183","8922.049999999985","13849.000000000007","17134.100000000013","7485.870000000005","11437.959999999994","14237.15","37495","35537","1612208.5099999995","477502.29","89794.44999999992","10544.839999999982","4838.890000000001","2069.9500000000007"
"2024-01-02","15.804783950617285","57.43333333333333","41","663.2840277777777","4820.77","10045.009999999986","22916.629999999986","4368.19","9262.809999999987","19551.34999999999","32285","31527","1032966.8600000005","310501.9899999999","85169.89000000012","28855.51999999997","18660.31","9686.190000000008"
"2024-01-03","16.830246913580247","52.87777777777778","39","662.8402499999999","5471.1700000000055","8302.18","11413.820000000007","5382.620000000004","8157.589999999996","10903.550000000007","30763","30560","1055395.4200000002","310506.82000000024","53629.98999999997","8028.359999999994","4520.59999999999","2213.5699999999956"
