"2023-09-06","15","23.88888888888889","40","49","705.98","9.57","12.91","16.98","9.57","12.91","16.98","53","53","1673.93","481.02","58.75","10.39","5.3","0.3"
"2023-09-14","14","24.351851851851848","34.666666666666664","45","705.315","63.5","92.58999999999999","125.75999999999999","63.5","92.33999999999999","118.07","350","349","11858.560000000001","3505.5199999999995","518.14","84.21","37.3","15.340000000000002"
"2023-09-14","15","27.473118279569892","26.93548387096774","43","705.0116129032258","290.23","387.49","438.1300000000001","290.23","387.49","438.1300000000001","1596","1596","54208.22999999999","15982.740000000002","2030.4800000000002","181.83","70.71000000000002","24.180000000000003"
"2023-09-14","16","28.88888888888889","23","41","704.1996551724138","252.60000000000002","329.92999999999984","358.78000000000003","252.60000000000002","329.92999999999984","358.78000000000003","1378","1378","46195.38","13653.359999999997","1627.23","122.66000000000001","41.86999999999999","12.100000000000001"
"2023-09-14","17","29.444444444444443","22","42","703.0030000000002","303.39","421.3","511.4500000000001","303.39","421.3","511.4500000000001","1614","1614","54972.71","16367.330000000002","2369.19","286.62","136.39","37.22"
"2023-09-14","18","29.81481481481482","22","42","702.0546666666667","285.54","393.35","468.52","285.54","393.35","468.52","1573","1573","52604.29","15595.56","2195.1099999999997","238.96999999999997","109.27","33.94"
"2023-09-14","19","30","21.166666666666668","42","701.2356666666668","225.3","297.38","338","225.3","297.38","338","1237","1237","41660.44999999999","12295.029999999999","1586.5","134.92","58.57000000000001","17.119999999999997"
"2023-09-14","20","30.38888888888889","20.466666666666665","41","701.0563333333336","210.31999999999996","277.26","308.1800000000001","210.31999999999996","277.26","308.1800000000001","1157","1157","39956.27","11677.77","1434.9599999999996","114.8","42.98000000000001","18.189999999999998"
"2023-09-14","21","30.555555555555557","20","41","702.2036666666665","211.73000000000002","278.2","303.09","211.73000000000002","278.2","303.09","1160","1160","39518.13","11571.210000000001","1468.2399999999998","100.23000000000002","37.54","10.43"
"2023-09-14","22","30.555555555555557","20","41","703.4060000000002","193.31999999999996","249.89999999999998","274.52000000000004","193.31999999999996","249.89999999999998","274.52000000000004","1043","1043","36647.36","10715.87","1306.69","92.88000000000002","35.44","10.710000000000003"
"2023-09-14","23","30.555555555555557","20","41","703.902","177.59999999999997","233.44","253.88000000000005","177.59999999999997","233.44","253.88000000000005","972","972","34289.799999999996","10090.680000000002","1244.6500000000003","83.44999999999999","28.639999999999997","9.690000000000001"
"2023-09-15","0","30.555555555555557","20.266666666666666","41","704.2323333333333","221.20000000000002","283.06000000000006","312.21","221.20000000000002","283.06000000000006","312.21","1181","1181","42348.29999999999","12259.650000000001","1392.11","104.48","42.43000000000001","13.91"
"2023-09-15","1","30.555555555555557","21","42","704.9386666666668","256.09999999999997","329.04999999999995","362.3","256.09999999999997","329.04999999999995","362.3","1372","1372","47602.12000000002","13876.780000000002","1555.7200000000003","129.67999999999998","47.64000000000001","17.729999999999997"
"2023-09-15","2","30.555555555555557","20.866666666666667","42","705.4853333333333","129.07000000000002","167.50999999999996","188.03000000000003","129.07000000000002","167.50999999999996","188.03000000000003","699","699","24124.93","7037.219999999999","808.77","70.51","28.5","8.610000000000001"
"2023-09-17","19","23.80952380952381","26.714285714285715","37","702.2685714285715","23.5","33.82","41.300000000000004","23.5","33.82","41.300000000000004","142","142","5431.22","1594.5900000000001","195.91","27.009999999999998","8.96","3.05"
"2023-09-17","20","23.448275862068968","27.896551724137932","37","702.3744827586207","144.47000000000003","190.16000000000005","210.91","144.47000000000003","190.16000000000005","210.91","793","793","28948.750000000004","8537.380000000001","958.8399999999999","83.38000000000001","30.250000000000004","8.98"
"2023-09-17","21","22.77777777777778","28.933333333333334","38","702.6129999999998","158.2","212.25999999999996","238.55","157.25","211.09999999999997","236.88","878","875","31839.75","9377.14","1082.57","106.51","39.349999999999994","11.610000000000001"
"2023-09-17","22","22.22222222222222","29.633333333333333","37","702.9920000000001","127.41999999999999","170.83999999999997","194.04999999999995","127.41999999999999","170.83999999999997","194.04999999999995","712","712","26664.94","7794.680000000002","875.1299999999997","87.37000000000003","33.96999999999999","9.890000000000002"
"2023-09-17","23","19.111111111111114","37.7","38","703.6463333333335","425.06","555.9","625.78","417.16","555.0799999999999","625.78","1835","1832","75285.71","22224.559999999994","2621.4000000000005","261.03999999999996","104.26","21.840000000000003"
"2023-09-18","0","17.27777777777778","45.03333333333333","40","704.3963333333335","601.6099999999999","800.5300000000002","922.4499999999999","587.0700000000002","798.8300000000002","922.4499999999999","2468","2466","105199.49","31101.800000000003","3860.7100000000005","446.5","173.92000000000004","37.990000000000016"
"2023-09-18","1","15.666666666666666","53","41","705.1479999999999","519.3499999999999","681.59","761.8999999999997","516.9699999999999","681.5400000000001","761.8999999999997","2217","2217","91945.73999999999","26849.97","3217.69","325.33","105.65000000000002","25.320000000000004"
"2023-09-18","2","15.055555555555555","55.3","42","705.6636666666666","426.13","562.1899999999999","629.0300000000001","426.13","562.1899999999999","629.0300000000001","1959","1959","75231.06999999998","22103.379999999997","2726.9400000000005","263.97","90.02","23.879999999999995"
"2023-09-18","3","15.648148148148145","53.13333333333333","41","706.001","418.56000000000006","552.12","614.19","418.56000000000006","552.12","614.19","1938","1938","74753.34","21992.440000000002","2729.999999999999","238.38","87.16","22.659999999999997"
"2023-09-18","4","17.185185185185183","49.2","42","705.6380000000003","430.39000000000004","571.6600000000001","638.49","430.39000000000004","571.6600000000001","638.49","1979","1979","75762.63000000002","22368.370000000003","2854.2599999999993","259.56","96.97","23.689999999999998"
