UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/14T00:00:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,64,47,711.98,0.00,11960,-86,42590,7.58,9.72,10.70,7.58,9.72,10.70,40,40,1436.16,417.72,43.86,3.70,1.54,0.30,6.27,9.03,9.62,6.27,9.03,9.62,38,38,1255.40,361.57,52.28,2.63,1.22,0.30,56.86
2023/10/14T00:02:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,64,47,712.04,0.01,11960,-84,42709,9.02,12.26,14.67,9.02,12.26,14.67,52,52,1656.58,480.07,58.35,8.46,3.86,1.18,6.84,9.60,12.52,6.84,9.60,12.52,40,40,1421.79,413.14,57.59,5.91,4.47,1.31,61.66
2023/10/14T00:04:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,64,48,712.04,0.00,11960,-85,42829,7.97,9.97,10.69,7.97,9.97,10.69,42,42,1435.83,424.78,50.85,2.25,1.24,0.00,6.61,8.88,9.74,6.61,8.88,9.74,37,37,1302.00,374.91,47.00,3.47,1.14,0.51,62.59
2023/10/14T00:06:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,64,48,712.08,0.00,11960,-87,42949,19.62,25.25,27.28,18.47,24.72,27.28,79,78,3450.10,1013.67,118.27,7.20,3.23,1.22,17.09,25.40,28.33,16.56,24.88,28.33,80,78,3087.53,899.93,156.35,10.60,4.44,2.07,69.67
2023/10/14T00:08:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,63,48,712.08,0.00,11960,-87,43069,12.67,16.18,17.16,12.67,16.18,17.16,60,60,2208.63,658.79,79.21,4.21,1.18,0.44,10.81,15.25,17.85,10.81,15.25,17.85,58,58,2047.73,589.59,94.92,5.54,3.97,1.39,67.50
2023/10/14T00:10:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,63,48,712.11,0.00,11960,-83,43189,12.11,15.18,16.41,12.11,15.18,16.41,58,58,2097.70,615.77,72.05,5.38,2.11,0.39,10.34,14.51,18.08,10.34,14.51,18.08,56,56,1929.05,561.90,84.56,9.22,5.86,0.95,66.79
2023/10/14T00:12:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,62,48,712.10,0.00,11960,-86,43309,11.47,14.73,16.39,11.47,14.73,16.39,57,57,2028.41,584.44,77.93,5.29,2.81,0.78,9.96,14.88,17.30,9.96,14.88,17.30,57,57,1919.37,548.32,95.47,7.68,3.58,1.23,70.56
2023/10/14T00:14:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,62,47,712.11,0.00,11960,-85,43429,12.85,17.71,19.22,12.85,17.71,19.22,63,63,2373.10,682.66,87.90,8.83,2.58,0.51,10.91,16.98,19.89,10.91,16.98,19.89,62,62,2119.05,614.56,111.86,10.54,4.47,1.14,63.24
2023/10/14T00:16:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,63,47,712.14,0.01,11960,-80,43549,17.53,22.67,24.47,17.28,22.67,24.47,74,74,3215.58,912.12,106.21,8.53,2.93,0.65,15.88,23.00,28.21,15.88,23.00,28.21,74,74,2939.59,844.55,135.93,15.71,8.45,1.33,66.32
2023/10/14T00:18:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,63,48,712.15,0.00,11960,-87,43669,11.70,15.64,17.73,11.70,15.64,17.73,59,59,2202.75,630.93,76.70,5.62,3.23,1.68,10.37,14.47,17.15,10.37,14.47,17.15,56,56,1933.00,551.43,82.37,8.47,4.43,0.58,63.19
2023/10/14T00:20:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,62,47,712.16,0.00,11960,-85,43789,8.64,10.42,10.81,8.64,10.42,10.81,43,43,1603.02,464.05,42.81,1.31,0.63,0.24,7.62,10.38,13.12,7.62,10.38,13.12,43,43,1458.21,413.62,57.78,6.21,3.67,2.10,60.18
2023/10/14T00:22:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,62,47,712.18,0.00,11960,-84,43909,29.86,43.80,48.23,23.41,34.48,40.39,123,99,5190.54,1516.02,228.48,29.50,6.73,1.39,27.02,41.07,48.38,21.33,32.33,40.42,116,94,4819.80,1392.27,255.38,23.11,11.35,1.20,66.53
2023/10/14T00:24:06z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,62,48,712.18,0.00,11960,-83,44029,11.89,16.91,17.68,11.89,16.91,17.68,61,61,2179.26,630.75,91.49,8.58,1.32,0.40,11.84,16.53,21.50,11.84,16.53,21.50,61,61,2197.97,631.83,101.69,11.43,8.03,1.33,62.59
2023/10/14T00:26:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,63,48,712.22,0.00,11792,-85,44150,6.77,8.32,8.96,6.77,8.32,8.96,35,35,1301.20,384.36,39.12,2.84,1.05,0.38,5.73,8.41,9.24,5.73,8.41,9.24,35,35,1141.12,328.78,52.53,3.44,1.27,0.69,57.53
2023/10/14T00:28:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,65,48,712.21,0.00,11792,-82,44270,7.72,9.70,11.28,7.72,9.70,11.28,40,40,1462.30,426.05,45.53,4.85,2.38,0.58,6.35,9.22,10.07,6.35,9.22,10.07,38,38,1330.80,380.69,52.27,3.22,1.36,0.55,61.55
2023/10/14T00:30:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,65,48,712.24,0.00,11960,-83,44390,8.54,10.53,11.86,8.54,10.53,11.86,44,44,1570.74,449.18,47.28,3.75,1.63,0.72,7.24,10.03,12.40,7.24,10.03,12.40,42,42,1431.41,409.48,59.53,5.28,3.24,1.60,61.10
2023/10/14T00:32:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,66,49,712.27,0.00,11960,-84,44510,8.57,10.57,11.43,8.57,10.57,11.43,44,44,1609.07,465.95,53.14,2.11,0.95,0.77,7.85,10.87,12.52,7.85,10.87,12.52,45,45,1492.80,433.90,56.17,5.93,2.50,1.02,61.75
2023/10/14T00:34:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,65,48,712.29,0.00,11960,-88,44630,8.29,10.61,11.61,8.29,10.61,11.61,44,44,1573.22,454.98,45.12,4.58,1.49,0.42,6.74,8.63,9.44,6.74,8.63,9.44,36,36,1340.74,373.72,43.00,2.89,1.11,0.60,59.23
2023/10/14T00:36:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,65,49,712.36,0.00,11960,-81,44750,8.78,11.27,12.81,8.78,11.27,12.81,47,47,1657.47,483.51,51.31,5.49,1.88,0.59,7.25,9.45,10.68,7.25,9.45,10.68,39,39,1409.36,404.11,50.88,2.70,2.11,0.86,57.81
2023/10/14T00:38:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,64,49,712.40,0.00,11960,-85,44870,8.04,10.75,11.96,8.04,10.75,11.96,45,45,1567.74,455.60,53.05,5.28,1.93,0.19,6.68,9.49,11.90,6.68,9.49,11.90,40,40,1308.92,372.61,56.81,5.73,3.56,1.83,58.14
2023/10/14T00:40:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,61,65,49,712.40,0.00,11960,-87,44990,8.20,10.55,11.84,8.20,10.55,11.84,44,44,1578.70,454.86,47.18,3.59,1.95,1.36,6.80,9.07,10.78,6.80,9.07,10.78,38,38,1312.78,373.97,51.20,3.63,2.80,1.27,58.16
2023/10/14T00:42:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,66,48,712.42,0.00,11960,-81,45110,8.85,11.44,12.69,8.85,11.44,12.69,48,48,1591.37,469.78,54.63,3.71,2.14,0.76,6.33,8.91,10.76,6.33,8.91,10.76,37,37,1320.31,377.66,52.24,4.64,2.17,1.31,57.99
2023/10/14T00:44:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,67,48,712.45,0.00,11960,-84,45230,10.63,13.38,14.42,10.63,13.38,14.42,54,54,1944.00,561.88,58.27,4.43,1.48,0.50,9.38,12.43,13.86,9.38,12.43,13.86,52,52,1779.75,498.39,63.30,4.32,2.00,0.86,62.10
2023/10/14T00:46:07z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,60,66,48,712.47,0.00,11960,-82,45350,8.24,10.34,11.83,8.24,10.34,11.83,43,43,1645.50,473.97,44.02,4.28,2.55,0.55,8.42,11.25,12.40,8.42,11.25,12.40,47,47,1580.11,457.30,60.21,2.81,1.32,0.44,58.62
