,UTCDateTime,pm2_5_atm
0,2023-10-22 00:00:00,35.168
1,2023-10-22 00:10:00,29.228
2,2023-10-22 00:20:00,23.636
3,2023-10-22 00:30:00,24.62
4,2023-10-22 00:40:00,23.364
5,2023-10-22 00:50:00,23.444
6,2023-10-22 01:00:00,42.64
7,2023-10-22 01:10:00,43.312
8,2023-10-22 01:20:00,40.34
9,2023-10-22 01:30:00,54.192
10,2023-10-22 01:40:00,47.048
11,2023-10-22 01:50:00,30.92
12,2023-10-22 02:00:00,24.764
13,2023-10-22 02:10:00,19.016
14,2023-10-22 02:20:00,17.396
15,2023-10-22 02:30:00,21.666
16,2023-10-22 02:40:00,20.008
17,2023-10-22 02:50:00,17.084
18,2023-10-22 03:00:00,15.71
19,2023-10-22 03:10:00,16.03
20,2023-10-22 03:20:00,13.632
21,2023-10-22 03:30:00,14.51
22,2023-10-22 03:40:00,13.342
23,2023-10-22 03:50:00,13.412
24,2023-10-22 04:00:00,13.41
25,2023-10-22 04:10:00,16.51
26,2023-10-22 04:20:00,16.462
27,2023-10-22 04:30:00,16.876
28,2023-10-22 04:40:00,14.854
29,2023-10-22 04:50:00,15.284
30,2023-10-22 05:00:00,17.238
31,2023-10-22 05:10:00,17.406
32,2023-10-22 05:20:00,20.108
33,2023-10-22 05:30:00,21.292
34,2023-10-22 05:40:00,20.92
35,2023-10-22 05:50:00,23.21
36,2023-10-22 06:00:00,24.058
37,2023-10-22 06:10:00,23.78
38,2023-10-22 06:20:00,26.25
39,2023-10-22 06:30:00,29.462
40,2023-10-22 06:40:00,31.72
41,2023-10-22 06:50:00,29.198
42,2023-10-22 07:00:00,25.042
43,2023-10-22 07:10:00,23.672
44,2023-10-22 07:20:00,20.704
45,2023-10-22 07:30:00,18.25
46,2023-10-22 07:40:00,17.132
47,2023-10-22 07:50:00,19.844
48,2023-10-22 08:00:00,21.994
49,2023-10-22 08:10:00,20.482
50,2023-10-22 08:20:00,20.604
51,2023-10-22 08:30:00,20.916
52,2023-10-22 08:40:00,22.256
53,2023-10-22 08:50:00,19.48
54,2023-10-22 09:00:00,21.246
55,2023-10-22 09:10:00,19.166
56,2023-10-22 09:20:00,17.838
57,2023-10-22 09:30:00,16.022
58,2023-10-22 09:40:00,15.278
59,2023-10-22 09:50:00,14.95
60,2023-10-22 10:00:00,12.356
61,2023-10-22 10:10:00,9.854
62,2023-10-22 10:20:00,8.236
63,2023-10-22 10:30:00,9.192
64,2023-10-22 10:40:00,6.858
65,2023-10-22 10:50:00,11.508
66,2023-10-22 11:00:00,10.298
67,2023-10-22 11:10:00,10.806
68,2023-10-22 11:20:00,9.402
69,2023-10-22 11:30:00,9.058
70,2023-10-22 11:40:00,7.822
71,2023-10-22 11:50:00,7.544
72,2023-10-22 12:00:00,13.224
73,2023-10-22 12:10:00,8.082
74,2023-10-22 12:20:00,9.982
75,2023-10-22 12:30:00,9.604
76,2023-10-22 12:40:00,9.844
77,2023-10-22 12:50:00,9.564
78,2023-10-22 13:00:00,8.228
79,2023-10-22 13:10:00,7.862
80,2023-10-22 13:20:00,7.354
81,2023-10-22 13:30:00,7.898
82,2023-10-22 13:40:00,8.596
83,2023-10-22 13:50:00,7.504
84,2023-10-22 14:00:00,7.104
85,2023-10-22 14:10:00,8.608
86,2023-10-22 14:20:00,6.724
87,2023-10-22 14:30:00,7.192
88,2023-10-22 14:40:00,7.476
89,2023-10-22 14:50:00,7.096
90,2023-10-22 15:00:00,5.528
91,2023-10-22 15:10:00,3.998
92,2023-10-22 15:20:00,5.304
93,2023-10-22 15:30:00,4.84
94,2023-10-22 15:40:00,4.856
95,2023-10-22 15:50:00,4.668
96,2023-10-22 16:00:00,6.802
97,2023-10-22 16:10:00,7.626
98,2023-10-22 16:20:00,7.316
99,2023-10-22 16:30:00,8.014
100,2023-10-22 16:40:00,8.684
101,2023-10-22 16:50:00,7.902
102,2023-10-22 17:00:00,7.674
103,2023-10-22 17:10:00,10.224
104,2023-10-22 17:20:00,11.918
105,2023-10-22 17:30:00,10.65
106,2023-10-22 17:40:00,9.442
107,2023-10-22 17:50:00,10.564
108,2023-10-22 18:00:00,9.702
109,2023-10-22 18:10:00,9.862
110,2023-10-22 18:20:00,8.458
111,2023-10-22 18:30:00,7.416
112,2023-10-22 18:40:00,9.308
113,2023-10-22 18:50:00,10.542
114,2023-10-22 19:00:00,12.982
115,2023-10-22 19:10:00,9.38
116,2023-10-22 19:20:00,15.494
117,2023-10-22 19:30:00,13.466
118,2023-10-22 19:40:00,13.758
119,2023-10-22 19:50:00,10.578
120,2023-10-22 20:00:00,9.328
121,2023-10-22 20:10:00,11.91
122,2023-10-22 20:20:00,13.824
123,2023-10-22 20:30:00,17.15
124,2023-10-22 20:40:00,17.712
125,2023-10-22 20:50:00,20.334
126,2023-10-22 21:00:00,18.96
127,2023-10-22 21:10:00,18.492
128,2023-10-22 21:20:00,19.662
129,2023-10-22 21:30:00,19.376
130,2023-10-22 21:40:00,22.93
131,2023-10-22 21:50:00,23.76
132,2023-10-22 22:00:00,17.892
133,2023-10-22 22:10:00,17.168
134,2023-10-22 22:20:00,16.672
135,2023-10-22 22:30:00,17.47
136,2023-10-22 22:40:00,16.968
137,2023-10-22 22:50:00,16.678
138,2023-10-22 23:00:00,18.224
139,2023-10-22 23:10:00,19.02
140,2023-10-22 23:20:00,17.97
141,2023-10-22 23:30:00,16.782
142,2023-10-22 23:40:00,17.332
143,2023-10-22 23:50:00,16.49
