UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/19T00:25:50z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,58,42,675.78,0.00,26264,0,340,0.12,0.51,0.68,0.12,0.51,0.68,2,2,265.21,61.56,7.33,0.21,0.21,0.21,0.05,0.44,0.47,0.05,0.44,0.47,2,2,171.46,46.56,6.61,0.49,0.00,0.00,76.16
2023/10/19T00:27:50z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,58,42,675.79,0.00,26264,0,460,0.72,1.18,1.47,0.72,1.18,1.47,5,5,305.68,80.21,9.02,0.98,0.39,0.21,0.00,0.00,0.10,0.00,0.00,0.10,0,0,125.24,37.61,3.61,0.19,0.19,0.00,75.56
2023/10/19T00:29:50z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,59,42,675.79,0.01,26264,0,580,0.24,0.59,0.73,0.24,0.59,0.73,2,2,276.10,67.10,6.36,0.59,0.14,0.14,0.00,0.16,0.16,0.00,0.16,0.16,1,1,145.53,40.14,5.09,0.19,0.00,0.00,75.52
2023/10/19T00:31:50z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,59,43,675.80,0.00,26264,0,700,0.26,0.47,0.55,0.26,0.47,0.55,2,2,265.71,61.34,4.78,0.09,0.09,0.09,0.00,0.05,0.05,0.00,0.05,0.05,0,0,111.05,33.25,4.39,0.64,0.00,0.00,76.34
2023/10/19T00:33:50z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,675.80,0.00,26264,0,820,0.03,0.64,0.71,0.03,0.64,0.71,3,3,238.19,57.71,5.97,0.83,0.12,0.00,0.00,0.24,0.24,0.00,0.24,0.24,1,1,121.45,33.09,5.98,0.47,0.00,0.00,76.48
2023/10/19T00:35:50z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,675.79,0.01,26264,0,940,0.09,0.64,0.79,0.09,0.64,0.79,3,3,258.11,59.30,4.77,0.93,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,97.37,27.34,2.39,0.76,0.22,0.00,75.66
2023/10/19T00:37:50z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,675.80,0.00,26264,0,1060,0.22,0.53,0.53,0.22,0.53,0.53,2,2,280.09,65.48,3.12,0.17,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.12,0,0,85.86,25.83,2.83,0.83,0.22,0.00,76.06
2023/10/19T00:39:50z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,675.81,0.00,26264,0,1180,0.00,0.24,0.71,0.00,0.24,0.71,1,1,230.39,50.27,4.88,1.31,0.47,0.22,0.11,0.18,0.18,0.11,0.18,0.18,1,1,124.39,35.46,3.75,0.73,0.11,0.00,75.37
2023/10/19T00:41:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,60,44,675.85,nan,26352,0,100,0.00,0.44,0.93,0.00,0.44,0.93,2,2,200.67,49.33,5.44,1.24,0.71,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,126.86,37.21,3.55,0.36,0.02,0.00,nan
2023/10/19T00:43:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,675.86,0.00,26264,0,220,0.05,0.17,0.37,0.05,0.17,0.37,1,1,232.80,57.93,3.52,0.48,0.32,0.15,0.00,0.02,0.18,0.00,0.02,0.18,0,0,115.53,32.88,3.02,0.67,0.25,0.00,75.74
